"Stamps on Colnect","List exported on 2022-05-09 17:53:50 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 69 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/1-Definitive

Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Red-Violet Spectrum Eagle","United States of America","Spectrum Eagle 2015","Mi:US 5193, Sn:US 5016, Yt:US PR110, Sg:US 5626",2015-09-02,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10½</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted First",56135,48551,37780,39768,,412345,66.71,Medium,"Multicolor,Lilac",,,"Stylized Animals,Birds,Birds of Prey,Eagles,Animals (Fauna)","Serpentine Die Cut 10½ vertical  Dated 2015 - Initial value: 25c",https://colnect.com/stamps/stamp/568160
"Brown-Orange Spectrum Eagle","United States of America","Spectrum Eagle 2015","Mi:US 5194, Sn:US 5017, Yt:US PR111, Sg:US 5621",2015-09-02,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10½</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted First",56134,48550,37779,39774,,412346,64.86,Medium,"Multicolor,Yellowish orange",,,"Stylized Animals,Birds,Birds of Prey,Eagles,Animals (Fauna)","Serpentine Die Cut 10½ vertical  Dated 2015 - Initial value: 25c",https://colnect.com/stamps/stamp/568161
"Yellow-Orange Spectrum Eagle","United States of America","Spectrum Eagle 2015","Mi:US 5195, Sn:US 5018, Yt:US PR112, Sg:US 5622",2015-09-02,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10½</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted First",56133,48549,37778,39772,,412347,64.95,Medium,"Multicolor,Orange yellow",,,"Stylized Animals,Birds,Birds of Prey,Eagles,Animals (Fauna)","Serpentine Die Cut 10½ vertical  Dated 2015 -Initial value: 25c",https://colnect.com/stamps/stamp/568162
"Green Spectrum Eagle","United States of America","Spectrum Eagle 2015","Mi:US 5196, Sn:US 5013, Yt:US PR113, Sg:US 5623",2015-09-02,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10½</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted First",56132,48554,37777,39771,,412342,67.02,Medium,"Multicolor,Yellowish green",,,"Stylized Animals,Birds,Birds of Prey,Eagles,Animals (Fauna)","Serpentine Die Cut 10½ vertical  Dated 2015 -Initial value: 25c",https://colnect.com/stamps/stamp/568157
"Blue-Green Spectrum Eagle","United States of America","Spectrum Eagle 2015","Mi:US 5197, Sn:US 5014, Yt:US PR114, Sg:US 5624",2015-09-02,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10½</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted First",56131,48553,37776,39770,,412343,67.06,Medium,"Multicolor,Green blue",,,"Stylized Animals,Birds,Birds of Prey,Eagles,Animals (Fauna)","Serpentine Die Cut 10½ vertical  Dated 2015 -Initial value: 25c",https://colnect.com/stamps/stamp/568158
"Geometric Snowflakes - blue","United States of America","Geometric Snowflakes","Mi:US 5211BD, Sn:US 5032, Sg:US 5640, WAD:US078.15",2015-10-23,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56111,48529,,39752,,,47.75,High,Multicolor,,,Snow,"Initial value: 49 c",https://colnect.com/stamps/stamp/568178
"Geometric Snowflakes - Green","United States of America","Geometric Snowflakes","Mi:US 5212BD, Sn:US 5033, Sg:US 5641, WAD:US079.15",2015-10-23,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56110,48528,,39751,,,48.43,High,Multicolor,,,Snow,"Initial value: 49 c",https://colnect.com/stamps/stamp/568179
"Geometric Snowflakes - Pink","United States of America","Geometric Snowflakes","Mi:US 5213BD, Sn:US 5034, Sg:US 5642, WAD:US080.15",2015-10-23,,22.1,24.9,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56109,48527,,39750,,568177,47.95,High,Multicolor,,,Snow,"Initial value: 49 c    Imperforate bottom",https://colnect.com/stamps/stamp/568177
"Geometric Snowflakes - Pink","United States of America","Geometric Snowflakes","Mi:US 5213BEru",2015-10-23,,,,,Stamp,Definitive,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56108,,,,,568177,58.93,"Very Low",Multicolor,,,Snow,"Initial value: 49 c    Imperforate right and bottom",https://colnect.com/stamps/stamp/1075648
"Purple Heart","United States of America","Purple Heart","Mi:US A5213, Sn:US 5035",2015-10,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,55288,48522,,,,383238,33.36,Medium,Multicolor,,,"Medals and Marks of Honour,Coats of Arms,Hearts","Dated 2014 in purple.  Microprinted USPS At Left of Ribbon.  Initial value 49c",https://colnect.com/stamps/stamp/715812
"Stars & Stripes (middle) Presort - B111 variant","United States of America","Stars & Stripes Presorted Rate (2015)","Sn:US 4962-PNC",2015-02-27,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted Std",,48650,,,,552127,,,Multicolor,,,Flags,"Plate number single, plate number B111",https://colnect.com/stamps/stamp/1131162
"Water Lilies","United States of America","Water Lilies","Sn:US 4967b",2015-03-20,,,,"No Watermark","Booklet Pane",Definitive,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48642,,,,552129,90.42,Low,Multicolor,,,"Flowers,Plants (Flora)","Booklet pane of 20",https://colnect.com/stamps/stamp/715454
"Water Lilies","United States of America","Water Lilies","Sn:US 4967d",2015-03-20,,,,"No Watermark","Booklet Pane",Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48640,,,,552129,91.49,Low,Multicolor,,,"Flowers,Plants (Flora)","Imperforate booklet pane of 20",https://colnect.com/stamps/stamp/715455
"Summer Harvest","United States of America","Summer Harvest","Sn:US 5007b",2015-07-11,,,,,"Booklet Pane",Definitive,"Serpentine Die Cut<i> 10¾ x 10¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48568,,,,715609,86.61,Low,Multicolor,,,"Fruits,Plants (Flora),Vegetables","Booklet pane of 20",https://colnect.com/stamps/stamp/715622
"Summer Harvest","United States of America","Summer Harvest","Sn:US 5007d",2015-07-11,,,,,"Booklet Pane",Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48566,,,,715609,91.49,Low,Multicolor,,,"Fruits,Plants (Flora),Vegetables","Imperforate booklet pane of 20",https://colnect.com/stamps/stamp/715623


"END of Colnect list launched on 2022-05-09 17:53:50 GMT+0"
