
   243-Åland_Islands @@>Åland Islands @$@                                                   658) @^@
   234-Wallis_and_Futuna @@>Wallis and Futuna @$@                                                   1,316) @^@
   236-Yemen @@>Yemen @$@                                                   461) @^@
   506-Yemen_Peoples_Democratic_Republic @@>Yemen, People&apos;s Democratic Republic @$@                                                   472) @^@
   323-Yemen_South_Arabia @@>Yemen, South Arabia @$@                                                   30) @^@
   257-Yugoslavia @@>Yugoslavia @$@                                                   4,128) @^@
   284-Zaire @@>Zaire @$@                                                   813) @^@
   644-Zambezia @@>Zambezia @$@                                                   115) @^@
   238-Zambia @@>Zambia @$@                                                   1,766) @^@
   294-Zanzibar @@>Zanzibar @$@                                                   403) @^@
   239-Zimbabwe @@>WZimbabwe @$@                                                   973) @^@
